662.2,-0.734,0.656,-0.258,,
662.3,-0.68,0.535,-0.258,,
662.4,-0.652,0.434,-0.242,,
662.5,-0.652,0.375,-0.234,,
662.6,-0.691,0.348,-0.242,,
662.7,-0.738,0.367,-0.246,,
662.8,-0.77,0.406,-0.215,,
662.9,-0.801,0.457,-0.168,,
663,-0.855,0.504,-0.137,,
663.1,-0.906,0.539,-0.113,,
663.2,-0.93,0.551,-0.094,,
663.3,-0.934,0.543,-0.074,,
663.4,-0.926,0.531,-0.082,,
663.5,-0.914,0.512,-0.105,,
663.6,-0.883,0.5,-0.125,,
663.7,-0.848,0.496,-0.145,,
663.8,-0.813,0.508,-0.152,,
663.9,-0.793,0.527,-0.156,,
664,-0.789,0.547,-0.168,,
664.1,-0.801,0.57,-0.168,,
664.2,-0.813,0.582,-0.164,,
664.3,-0.828,0.582,-0.172,,
664.4,-0.828,0.574,-0.195,,
664.5,-0.828,0.563,-0.211,,
664.6,-0.828,0.555,-0.23,,
664.7,-0.832,0.543,-0.242,,
664.8,-0.836,0.539,-0.254,,
664.9,-0.84,0.539,-0.25,,
665,-0.84,0.547,-0.238,,
665.1,-0.844,0.543,-0.23,,
665.2,-0.844,0.539,-0.227,,
665.3,-0.84,0.535,-0.227,,
665.4,-0.836,0.531,-0.227,,
665.5,-0.832,0.531,-0.234,,
665.6,-0.82,0.535,-0.242,,
665.7,-0.828,0.535,-0.25,,
665.8,-0.828,0.531,-0.262,,
665.9,-0.824,0.531,-0.266,,
666,-0.82,0.535,-0.258,,
666.1,-0.816,0.531,-0.254,,
666.2,-0.816,0.52,-0.254,,
666.3,-0.813,0.512,-0.258,,
666.4,-0.809,0.508,-0.27,,
666.5,-0.813,0.5,-0.266,,
666.6,-0.816,0.484,-0.258,,
