LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.663121,-0.909958,-0.035027,160507,2015-07-06 12:36:23:342
-0.191901,0.696651,-0.663121,161007,2015-07-06 12:36:23:842
0.56268,-0.275727,0.092807,161507,2015-07-06 12:36:24:342
0.59157,0.223186,0.630639,162007,2015-07-06 12:36:24:842
-0.652343,-0.709824,-1.974544,162507,2015-07-06 12:36:25:342
-0.766406,-0.220491,0.758323,163007,2015-07-06 12:36:25:842
0.426912,-0.175735,-0.550555,163507,2015-07-06 12:36:26:342
0.917442,-0.579445,0.696202,164007,2015-07-06 12:36:26:842
0.652643,1.480272,-1.511856,164507,2015-07-06 12:36:27:342
-0.760868,0.107327,0.466879,165007,2015-07-06 12:36:27:842
0.319885,-0.152982,-0.425116,165507,2015-07-06 12:36:28:342
-0.4808,-0.324974,0.099244,166007,2015-07-06 12:36:28:842
0.477956,-0.172591,0.296982,166508,2015-07-06 12:36:29:343
-0.651595,-0.961151,-0.876727,167007,2015-07-06 12:36:29:842
-1.218466,-1.195115,-0.403561,167512,2015-07-06 12:36:30:347
-0.098795,-0.23082,-0.150138,168006,2015-07-06 12:36:30:841
1.828298,0.737367,0.319286,168507,2015-07-06 12:36:31:342
0.00943,0.251327,-1.801204,169007,2015-07-06 12:36:31:842
-0.448916,1.835333,1.299298,169507,2015-07-06 12:36:32:342
-0.587079,-0.011825,-0.342188,170007,2015-07-06 12:36:32:842
1.525328,-0.571062,0.709974,170507,2015-07-06 12:36:33:342
0.924927,0.209115,-1.874103,171007,2015-07-06 12:36:33:842
-0.373623,-0.791704,0.343236,171507,2015-07-06 12:36:34:342
0.146695,0.185614,-0.914149,172007,2015-07-06 12:36:34:842
0.606239,-0.414189,0.387993,172512,2015-07-06 12:36:35:347
0.916544,1.058748,-1.761237,173008,2015-07-06 12:36:35:843
-0.305814,-0.19235,0.329315,173507,2015-07-06 12:36:36:342
0.063767,-0.370929,-2.011517,174007,2015-07-06 12:36:36:842
0.402363,-0.101938,-0.092059,174511,2015-07-06 12:36:37:346
0.540077,0.462538,0.890648,175007,2015-07-06 12:36:37:842
-0.486488,-0.965492,-0.641865,175507,2015-07-06 12:36:38:342
-1.278791,1.950145,0.740959,176008,2015-07-06 12:36:38:843
0.601898,-0.208516,-0.074246,176508,2015-07-06 12:36:39:343
1.9235,1.576222,0.357606,177007,2015-07-06 12:36:39:842
-0.75997,-0.635129,-1.573677,177509,2015-07-06 12:36:40:344
-0.402214,3.26022,0.99064,178007,2015-07-06 12:36:40:842
0.551453,-0.305215,-0.388742,178507,2015-07-06 12:36:41:342
1.728905,0.363893,0.037871,179007,2015-07-06 12:36:41:842
-0.510738,-0.141007,-1.6831,179507,2015-07-06 12:36:42:342
-0.585283,-0.881966,0.99064,180007,2015-07-06 12:36:42:842
-0.417781,-0.131277,-0.111518,180508,2015-07-06 12:36:43:343
1.230591,-0.436941,0.832419,181012,2015-07-06 12:36:43:847
-0.428858,-0.051194,-1.753304,181512,2015-07-06 12:36:44:347
