,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,SUM
284,-1.376088,-0.795146,-0.849783,143507,2015-07-06 12:36:06:342,1.80222265332
285,-0.318089,-1.320404,-0.403112,144008,2015-07-06 12:36:06:843,1.41673802084
286,0.542322,-0.199535,0.477657,144513,2015-07-06 12:36:07:348,0.74972233364
287,0.4808,-0.089813,0.873434,145007,2015-07-06 12:36:07:842,1.00106042142
288,-0.732427,-0.994831,-1.43297,145506,2015-07-06 12:36:08:341,1.89196750759
289,-2.007176,-0.637524,0.301922,146007,2015-07-06 12:36:08:842,2.12752185409
290,-0.334255,-0.03847,-0.121398,146508,2015-07-06 12:36:09:343,0.357692354306
291,0.173489,-0.022902,0.839454,147007,2015-07-06 12:36:09:842,0.857499826729
292,-0.758024,0.004491,-1.583707,147506,2015-07-06 12:36:10:341,1.75577573041
293,-0.940494,1.128653,1.571881,148007,2015-07-06 12:36:10:842,2.15155674724
294,0.368983,-0.095352,0.102686,148507,2015-07-06 12:36:11:342,0.394695924465
295,1.117277,-0.010029,0.092358,149007,2015-07-06 12:36:11:842,1.12113267535
296,0.679886,0.342039,-1.929188,149508,2015-07-06 12:36:12:343,2.07388572247
297,-0.594713,1.549877,0.961151,150008,2015-07-06 12:36:12:843,1.91823187136
298,0.611928,-0.125888,0.154329,150507,2015-07-06 12:36:13:342,0.64352242072
299,0.505948,-0.174537,0.463586,151007,2015-07-06 12:36:13:842,0.708066750009
300,-0.429307,0.331411,-2.36104,151507,2015-07-06 12:36:14:342,2.42252918099
301,-0.487686,-0.464634,0.801433,152007,2015-07-06 12:36:14:842,1.04690842104
302,-0.52436,0.286205,0.313598,152507,2015-07-06 12:36:15:342,0.67469283176
303,0.429307,-0.232317,0.446821,153007,2015-07-06 12:36:15:842,0.66175878897
304,0.847687,1.340163,-0.786614,153507,2015-07-06 12:36:16:342,1.77013324401
305,-1.922901,-0.498014,-0.473765,154007,2015-07-06 12:36:16:842,2.04206255419
306,1.296155,-0.603246,-1.390309,154506,2015-07-06 12:36:17:341,1.99421228459
307,1.016686,-0.376018,0.251627,155007,2015-07-06 12:36:17:842,1.11281449759
308,0.061372,0.094154,-0.753982,155507,2015-07-06 12:36:18:342,0.762312504439
